,,,,,,,,,,,,
신분류체계정보 관광타입정보 연계 정의서,,,,,,,,,,,,
,,,,,,,,,,,,
대분류(lclsSystem1),,중분류(lclsSystem2),,소분류 코드(clsSystem3),,관광타입(contenttypeid),,,,,,
대분류코드,대분류명,중분류코드,중분류명,소분류코드,소분류명,국문코드,다국어코드,관광타입명,,관광타입명,국문코드,다국어코드
,,,,VE010500,동상,12,76,관광지,,,,
,,,,VE010600,터널,12,76,관광지,,,,
,,,,VE010700,댐,12,76,관광지,,,,
,,,,VE010800,등대,12,76,관광지,,,,
,,,,VE010900,기타 건축/조형물,12,76,관광지,,,,
,,VE02,테마공원,VE020100,테마파크,12,76,관광지,,,,
,,,,VE020200,워터파크,12,76,관광지,,,,
,,,,VE020300,동물원,12,76,관광지,,,,
,,,,VE020400,수족관 / 아쿠라리움,12,76,관광지,,,,
,,,,VE020500,천문대,12,76,관광지,,,,
,,VE03,도시공원,VE030100,시민공원,12,76,관광지,,,,
,,,,VE030200,소공원,12,76,관광지,,,,
,,,,VE030300,어린이공원,12,76,관광지,,,,
,,,,VE030400,근린공원,12,76,관광지,,,,
,,,,VE030500,주제공원,12,76,관광지,,,,
,,VE04,도시.지역문화관광,VE040100,"골목길, 문화거리",12,76,관광지,,,,
,,,,VE040200,마을관광지,12,76,관광지,,,,
,,,,VE040300,둘레길,12,76,관광지,,,,
,,VE05,복합관광시설,VE050100,관광단지,12,76,관광지,,,,
,,,,VE050200,리조트,32,80,숙박,,,,
,,VE06,공연시설,VE060100,공연장,14,78,문화시설,,,,
,,,,VE060200,영화관,14,78,문화시설,,,,
,,VE07,전시시설,VE070100,박물관,14,78,문화시설,,,,
,,,,VE070200,기념관,14,78,문화시설,,,,
,,,,VE070300,전시관,14,78,문화시설,,,,
,,,,VE070400,컨벤션센터,14,78,문화시설,,,,
,,,,VE070500,과학관,14,78,문화시설,,,,
,,,,VE070600,미술관/화랑,14,78,문화시설,,,,
,,VE08,행사시설,VE080600,연회장,14,78,문화시설,,,,
,,VE09,교육시설,VE090100,한국문화원,14,78,문화시설,,,,
,,,,VE090200,외국문화원,14,78,문화시설,,,,
,,,,VE090300,도서관,14,78,문화시설,,,,
,,,,VE090400,문화전수시설,14,78,문화시설,,,,
,,,,VE090500,어학당,14,78,문화시설,,,,
,,,,VE090600,학교,14,78,문화시설,,,,
